teff (K),abs (mag),spect
11800.49986,1.589,B9V
8313.466514,-12.79,B0.5Ib
4520.877388,1.295,K0III
4567.365068,1.026,G8III
6286.393689,3.353,F5IV
5676.947207,3.983,F9V
7549.734293,1.308,A6/A7IV
3451.744077,-2.901,K5/M0III
9291.838881,1.568,A0/A1Vn
10050.86298,0.744,B9V
4687.811298,0.918,A1IV
10732.5933,-0.027,B5IV
3508.555148,0.684,M1III
3554.523429,-0.428,M4III
7637.639287,2.897,A4V
6499.384764,0.952,F0IV
3443.973,0.113,M0III
4615.066548,-0.65,G5III
3933.718879,1.046,K3III
4221.984843,-0.046,K3III:
5327.45429,10.254,K1III
5982.005035,2.589,F7V
3490.122364,0.137,K5/M0III
5350.642385,2.084,G3V
12639.14109,-1.463,B2IIn...
4547.296049,1.096,G8III
4583.128211,0.059,G8III
5908.325844,3.874,F7V
4326.43724,6.875,K3V
10421.60859,-0.048,B7IV
4834.533831,5.866,K0V
6071.692352,3.507,F3/F5V
3556.921489,-0.513,K5III
10809.1867,1.634,B9V
3516.696326,0.351,K5/M0III:
9892.950588,2.327,A0V:
5783.671778,4.595,G1V
5256.182661,4.314,G2/G3III
4274.362982,1.238,G8III
12554.17168,-3.233,B3III
12443.0719,0.869,B9III:
5168.837032,5.348,G8V
12334.39792,-2.77,B2.5IV
7534.022039,0.425,A7Vn
4664.033343,-0.191,G8IV
6488.574974,2.522,F3IV
4770.978929,-1.333,G0Iab
3651.151373,-9.65,M7IIIe
6193.45907,2.611,F5V
5735.624314,3.123,F8V
5516.731113,4.756,G3V
12123.99664,-0.668,B9IV:
6291.381901,3.2,F5V
10676.03138,0.282,A0IV
8902.907796,1.094,A1V
6610.015901,2.804,F0/F2IV
9523.893817,0.523,A0V
5018.682282,5.435,G8V
5418.308916,2.823,G2/G3V
4146.348526,2.287,K0III
10887.16142,-1.006,A0V
5449.46365,3.658,G3V
4394.320308,-1.174,G8II
6393.269389,2.288,F3V
4680.646128,-11.16,F8/G0Ib
5384.209914,4.818,G3/G5V
5755.522428,3.529,F7/F8V
5004.543145,3.211,G8IV
3728.748117,-0.461,K3III
9174.589746,2.091,A1V
4748.606174,0.159,K0III+...
5727.713106,4.115,F5V
4019.342092,0.883,K2III
9291.838881,0.429,A1V
10457.02616,1.462,B8V
3873.163686,-0.329,K2III
3926.020043,0.972,K3III
10018.77719,0.389,A1V
5425.193681,0.195,F7V
3949.230414,-0.778,K1III
4481.959921,1.429,G8III
5571.325741,4.085,G3V
4084.151829,2.343,G8III
12754.69996,-1.43,B5III
4146.348526,0.888,K0III
6164.818732,0.039,F2II
6883.376626,0.799,F0IV
5317.593195,3.46,G2V
13714.24492,-0.85,B3V
9073.421376,1.653,A1/A2V
4741.206708,1.114,G6III
5874.430707,2.751,F7V
7411.202155,1.914,A6V
3757.375916,0.603,K2III
9756.021185,-0.206,A0V
8446.362817,-1.181,A0IV
6207.904463,1.967,F3IV
8071.985016,2.348,A4V
4283.888029,0.841,K1IIIvar
4429.273606,1.446,G5III
3524.884896,-1.185,M0III SB
4540.655236,1.397,K0IV
5816.26743,4.329,G8III+...
8706.276151,0.703,A2IV
4574.104081,6.229,K3V
6331.646916,2.892,F3V
4464.930363,1.258,G8III
5755.522428,3.68,F6/F7V
4210.968567,1.708,G5V
12175.75339,-0.78,B6V
3484.411616,-0.493,M3III
3701.985022,-0.876,K3III
4408.629077,1.444,K0III
5401.192143,3.696,G3V
4748.606174,-1.441,B2evar
3369.644814,-0.565,M2III
13341.96007,-0.482,B8V
11342.59929,0.158,B8V
4238.645119,1.8,K3III
4556.188345,0.139,G8III
4583.128211,0.439,G8III
4295.388409,-0.441,K2III
8374.149086,1.535,A6V
6638.415594,2.961,F2IV
3862.804658,0.353,K3III
9252.341086,2.132,A1V
4652.25696,6.026,K0V
4293.46632,0.237,K0III
7077.563913,2.531,A9IV
6251.750984,2.836,F6V
3789.368622,0.341,K3III
5960.09691,2.97,F6/F7V
4268.673313,1.653,K0III
4372.067965,0.95,K0III
6004.1156,3.962,F6V
11234.9324,0.841,B9p Si(CrSr)
3816.316645,0.338,K2/K3III
7456.66983,2.252,A8V
4469.172578,0.626,G8III
6266.539286,2.828,F5/F6V
4181.939772,0.774,K2III
4612.766777,3.054,K0III-IV
5708.053865,4.446,G1V
7795.680727,1.564,A4IV
5704.142229,2.568,F8V
7250.240114,2.676,A4II
4741.206708,1.927,K0IV
4293.46632,1.058,G8III
6537.576459,3.061,F0IV
9711.422134,0.662,A1V
6217.581636,3.283,F5V
4128.834878,0.929,K2III
3629.53368,-0.807,K5Ib-II
6946.614447,-0.493,B1III
5390.986769,5.173,G5V
3904.662184,1.387,K1/K2III
4281.978776,-0.048,K1III
4306.966284,1.93,K0/K1III
8891.033292,-0.299,A0V
4118.415098,-0.05,K1III
6581.918012,0.211,F5/F6V+...
4525.253843,0.803,K0II
4494.839127,1.463,G9V
5370.719871,3.036,G3/G5V
3466.293077,-0.953,M2III
9278.626168,2.348,A2V
6755.138715,1.424,F2III
3682.225235,-0.545,M6III
5623.516621,1.676,F3/F5V
6672.900966,2.939,F2IV
6846.118722,1.909,F2/F3IV
3958.611014,0.14,K2III:
10676.03138,0.148,B9IV
6164.818732,3.239,F5V
3609.477481,0.732,K5III
3638.396243,-1.924,M5III
6212.738339,3.429,F5V
9252.341086,0.399,A2/A3V
6554.116828,1.588,F0V
9846.775685,0.472,A0IV
4534.038615,1.006,K0III
4065.608535,0.977,K1III
7004.786101,1.019,F2III
5727.713106,4.343,F8V
5491.707818,4.254,G0V...
4490.535786,0.929,K0III
6311.434135,2.821,F3/F5V
4306.966284,-12.16,F8Iab:
3493.560061,-1.878,M2IIIs
5491.707818,3.535,G1V
12175.75339,-0.461,B5Vne
3756.000218,0.104,K3III
4462.813028,-0.102,G8III
5452.952982,5.005,G5V
3944.560912,-0.373,K2III
3662.72703,-0.539,K5III
9681.971242,0.949,B8V
4788.563185,-1.149,K1III+...
5938.388277,3.292,G0V
4218.304751,0.507,K0III
4394.320308,0.699,K1III
9681.971242,0.871,A1V
4562.886161,1.052,K1III
3935.263179,0.409,K2III
3615.715239,0.174,M0.5III
4295.388409,0.986,K1III
3524.884896,-0.772,M1III
7787.158528,2.348,A6V
4503.476822,0.552,K0III
6510.23969,2.647,F3/F5V
7388.726918,0.448,F0V
6414.145394,3.424,F3/F5V
8950.805225,0.952,B1.5III
3708.63072,-0.45,K4III
3769.81414,-1.328,K2III
5108.628407,5.032,G6V
8488.332429,1.164,A3V
6193.45907,3.766,F6V
4220.143794,1.173,K1III
5445.979895,3.395,G3V
4247.972102,1.556,K1/K2III:
10215.23159,1.468,B9.5Vn...
4165.829546,0.221,K1III
3149.119319,-2.946,M2Iab
4661.672106,0.388,G8III
6367.411835,2.995,F5/F6V
4687.811298,0.246,G6/G8III
6972.318885,2.718,A6IV
6554.116828,1.627,F2III
4060.587714,-0.271,K1III-IV
4536.241476,1.195,K0/K1III
4765.984446,1.573,G8III
4962.716319,5.093,K0V
5960.09691,4.189,F6V
8639.432928,0.826,B8/B9V
4198.206663,0.187,K0III
6362.271643,3.372,F2V
5673.08862,4.372,G2V
6621.339272,2.467,F0V
4589.925585,7.273,K0V
5904.062214,1.719,F5V
10198.49216,1.792,A0V
8100.037128,1.043,A3III
3388.646633,-0.898,M3III
9399.260471,1.851,A1V
6076.265271,2.661,F6/F7V
4043.962966,0.955,K1III
6155.345325,-12.93,B3Ia
4274.362982,0.671,K1III
10583.39697,0.88,B8V
4860.554005,5.769,K1V
10789.91039,1.983,B8V
4370.058973,0.553,K0III
3745.039785,-0.971,K4III
8855.646036,1.23,A3V
4060.587714,-0.741,K2III
5755.522428,3.153,F8V
4813.966778,1.169,G5III
5951.389681,3.145,F6/F7V
4364.045819,0.907,K0III
4673.508275,-0.573,G8III
6127.142077,-15.35,A6Ia
9711.422134,-0.104,A0V
8999.352113,1.823,A2V
5491.707818,3.066,G1V
5502.397278,4.969,G5V
8185.677279,1.899,A2V
4400.438402,2.191,K1IV
7821.387865,2.473,A3IV
4223.827901,-0.22,K0III
4042.309839,0.872,K2III
4312.784544,1.256,K0III
3592.153927,0.35,M2III
10676.03138,0.519,B9V
5767.544413,4.278,F8V
4711.894648,0.954,G5IIIvar
5755.522428,2.616,A7V
4223.827901,1.521,K2III
6076.265271,2.735,F5V
5657.71959,4.541,G2/G3V
4865.800152,2.819,G8V
6991.753936,-4.262,F2II
4683.031475,0.831,G8III-IV
6062.572271,2.834,F8V
6150.622251,-2.021,F3IV
5294.760364,4.911,G2V
3732.804411,-1.268,K4III
3643.48491,-0.653,K4III
13784.75537,-0.631,B8III
5563.968426,4.62,G1V
5347.314353,3.76,G3V
9986.946248,2.486,B9.5V:
4932.593494,5.263,K0V
5181.092729,4.382,G5/G6IV
6435.192654,3.018,F3V
4146.348526,6.903,K5V
11047.41761,-1.344,B2/B3III:ne
4894.909058,5.091,K2/K3III
6108.518527,2.266,A6V
4382.147666,7.002,K4V
6113.16114,3.201,F5V
10676.03138,-0.089,B9IV
9908.462863,-0.223,A0V
6188.662586,2.587,F5III
4261.116464,1.194,K0III
9892.950588,-0.506,B8V
3813.457446,1.008,K3III
4454.368724,1.101,K0III
4416.857972,1.169,G8/K0III
5808.075502,4.25,G3V
9291.838881,0.31,A1V
4924.457255,6.239,K1V
6456.413429,3.597,F3V
3943.007477,0.986,K3III
4423.054898,1.878,K0III
4356.060371,0.721,K0III
10867.53606,0.432,B6V
7396.199715,-2.183,B8Iab
8283.535001,-0.043,B8V
3256.16329,-4.28,K3Ib
4380.127079,0.082,G8III
5240.314924,1.089,G6:III+...
6207.904463,3.843,F5/F6V
10583.39697,-0.98,B4IV
12072.78642,0.595,B8III
4128.834878,0.148,K0III
3442.866413,-0.129,M1III
3782.355815,-0.631,K4III
6510.23969,1.558,F2IV
5849.326254,4.192,G0V
4057.249102,0.735,K2IIICNII
4768.480052,-0.05,G8III
5491.707818,4.649,G2V
5317.593195,-1.187,F2II
4645.226725,1.165,G8III
4274.362982,1.917,K1III
6232.168346,3.117,F3V
6499.384764,3.055,F3IVp (Sr)
4240.506419,0.129,K1III
11277.69149,0.218,B9.5V
4274.362982,1.577,K0III
3757.375916,0.37,K3III
4635.894271,2.742,G8V
7322.310834,1.929,A4III
5513.138907,4.623,G3V
3979.128142,-1.808,K2III
10334.36133,-0.893,B7V
11088.40994,-0.052,B9/B9.5V
3548.545922,0.143,M0III
4174.760474,1.427,K1III
9174.589746,-0.271,A2V
8891.033292,1.571,A1V
7236.037875,1.047,F0V
7510.606252,2.476,F0IV
4408.629077,-0.844,K0/K1III
4011.218102,-1.364,K2III
4505.642737,0.355,G8III-IV
10751.6143,1.837,B9.5V
4247.972102,0.409,K2III
4097.771359,1.4,K1/K2III
4198.206663,1.294,K2III:
8717.542767,0.864,A2V
6122.472888,3.823,F5V
14001.84369,-0.478,Ap Si
9161.789479,0.756,A1V
4404.52898,0.248,K0III
5661.552085,3.338,G0V
9048.562667,-1.033,A4V
10847.99891,0.312,B8V
10421.60859,1.569,A0V
3415.487573,-0.755,M2III
10386.4894,-0.957,B4IV
10050.86298,-0.538,B9/B9.5V
4223.827901,1.118,K1III
13679.32638,-0.388,B6V
9652.742622,0.208,A2III
4212.799622,0.856,K2III
4094.355838,0.688,K1III
4158.719103,7.306,K5V
6207.904463,3.548,F6V
12470.61607,-2.14,B3III
6362.271643,2.129,A9V
9495.841085,0.729,A0V
8071.985016,1.199,A7III
4857.93623,-0.629,G3/G5III
11171.54752,-1.998,B4:V:ne
4128.834878,0.161,K0III
5832.738289,4.287,F8V
3470.800612,-0.358,M2III
4350.095206,1.238,K0III-IV
3624.493535,0.835,K3III:
3922.951041,-0.53,K0/K1III
11848.86265,-1.407,B8/B9III
5861.844882,1.843,F7V
4108.060811,0.256,K2III
10966.55774,0.46,B9V
5787.72126,3.964,G1Vw
8774.427474,-0.011,B8V
4798.684328,0.702,G5III
4897.576946,5.648,G8III
11430.61224,-0.568,B5V
3817.748256,-1.511,K5III+...
5281.822639,4.645,G6V
3440.655905,-2.562,K4/K5III
11430.61224,-0.079,B7V
6256.670718,2.472,F2V
5268.96366,3.915,G5V
6504.806566,3.588,F2V
8639.432928,1.738,A1V
10317.13021,-1.019,B9III
9161.789479,0.924,A0V
9681.971242,0.613,B9V
4576.355948,6.307,K1/K2III:
10789.91039,0.129,B7V
7778.659582,2.407,A3IV
6008.56227,3.197,F6V
3886.585003,7.866,K7V
4540.655236,2.573,K0III
4654.606288,0.382,G8III
6701.983181,3.229,F0V
3849.587175,5.173,K7V
3758.752875,0.642,K2III
4388.223435,0.86,G8III
5688.56245,2.849,F7V
9305.098733,0.621,A0Vn
13892.23952,-1.432,B5III
5221.430881,5.174,G8V
6004.1156,2.888,F6/F7V
5601,2.977,F8V
7744.894308,-12.51,O9.5Iab-Ib
8728.845904,1.439,A0IV
11364.44349,0.035,B5V
4342.173337,0.587,K0III
5676.947207,3.097,G2V
5350.642385,2.921,G3V
5549.326393,3.292,G2V
12201.83965,-2.553,B4Vne
10809.1867,-0.171,B9.5V
6435.192654,2.576,F2V
5646.260913,3.647,G1V
3419.831596,-1.21,M2III
4860.554005,-0.525,K2III+...
3993.488925,1.009,K1III
12784.00428,-0.121,B5III
4420.986842,-1.413,G6III
10620.20883,0.325,B9.5V
4425.125374,-0.131,K0III
7138.534064,1.074,F0III
4494.839127,0.841,G8/K0III
5132.500556,0.985,G8/K0III+..
5604.737114,4.273,G1V
4654.606288,0.482,G6/G8III
5268.96366,4.909,G3V
5534.780311,3.292,G2V
4236.78586,-0.122,K0III
4477.687318,0.902,K0III
5986.410857,4.527,F6V
7172.97822,-14.02,A2Iab
14038.86115,-16.16,B1Ib SB
5491.707818,4.922,G2/G3V
4261.116464,1.455,K0III
10828.54933,0.525,A0V
4683.031475,0.835,G6/G8III
4382.147666,-2.999,K4III
9892.950588,0.069,A0V
4079.073617,1.115,K0III
4274.362982,0.331,K0III
10099.4767,0.185,B9.5V
4386.195839,0.886,G8/K0III
7761.731043,2.778,A7V
5891.317335,3.054,F5/F6V
5435.561948,4.606,G8III
5534.780311,4.862,G3V
3762.891332,-0.68,K3III
5459.948433,3.554,G0V
7686.677309,2.023,A7IV
3979.128142,0.372,K3III
4310.842941,1.848,K1III
5105.663875,3.803,G8III
3903.147721,1.011,K0III
3751.880667,1.162,K3III
6940.225286,-13.91,B7Ia
8595.57782,1.518,A1V
10215.23159,-0.025,B6V
6570.762215,2.118,F2V
5964.462482,3.808,G0V
9846.775685,-1.037,A2Vn
4659.313855,0.902,G6III
7172.97822,0.218,B8V
10439.27983,-0.056,A1V
5791.777837,0.135,K1III:
3873.163686,1.037,K3III
5432.100357,3.916,G3V
4475.554832,0.284,K0III
6419.391066,2.512,F3V
4687.811298,5.875,K2V
3533.1213,-1.861,K5III
5477.535659,3.301,F7/F8V
4164.049087,1.102,K1III
4496.994667,1.182,K0III
6094.643406,2.778,F3V
3664.018883,-0.549,K5III
3786.559601,-0.817,K2/K3III
6341.814156,3.161,F3V
4306.966284,1.531,K0III
6286.393689,2.996,F5V
9939.670652,0.037,A0IV
4416.857972,-1.593,K1III
4488.387975,1.742,G6/G8III
9652.742622,1.621,A1V
3623.236231,-1.425,K2/K3III
4458.585878,1.228,K0III
5567.644045,1.634,F8V
4291.546379,-0.35,K0III
3868.715608,-1.648,K2/K3III
4336.255552,0.326,K0III
4959.958872,0.265,K0III
4652.25696,0.512,G8II-III
9495.841085,1.318,B8III
6276.446861,3.028,F5/F6V
6316.472199,2.468,F2V
4346.129759,2.832,K2III
4758.517175,5.019,K0/K1III
9580.626081,0.656,A0V
6026.431617,2.005,F6V
4030.785068,3.034,K7V
4192.766808,1.074,K1III
9801.135834,1.601,A1IV
9412.907313,0.077,A2V
6543.078312,2.651,F0V
4919.051703,1.069,G2III
4798.684328,-1.58,G8/K0III+..
4569.608647,0.461,K0III
3399.319547,-0.925,M3III
5418.308916,2.98,G5V
9726.231778,0.241,B9V
6791.166228,3.042,F1V
9638.210827,1.814,A1V
4125.3543,-0.559,K1/K2III
10165.21809,0.237,B7/B8V
6367.411835,3.015,F2IV
7307.75355,0.291,B9V
7257.367409,1.879,A9V
6696.1414,2.635,F0/F2V
3638.396243,0.645,K4III
4085.848082,0.528,K2III
7744.894308,1.13,A7V
3552.129407,-1.427,M0III
3446.188842,0.222,K2/K3III:
9816.29028,1.526,A0V
4352.081325,0.644,K2III
3523.712182,-3.338,K3/K4II
7917.491313,0.388,A3V
4425.125374,0.767,K0III
4420.986842,-0.017,K0/K1III+..
9652.742622,-13.32,B0.5Ib
4429.273606,2.84,G8IV
6008.56227,3.246,F7V
6048.956156,3.695,F7V
4372.067965,0.661,K0III
3731.451087,-0.624,K2V
3494.707843,-0.591,M2III
10528.77283,-1.143,B8V
10165.21809,-13.48,B0Ia
7464.315737,2.433,A8V
3720.668485,0.292,K3III
4116.684853,0.767,K0III
7250.240114,1.483,A7/A8V+...
4414.79715,1.106,G8III
4274.362982,0.706,K0/K1III
4556.188345,0.456,G4III:
6122.472888,3.213,F5V
4525.253843,-0.32,G8III
4467.050211,0.739,K0III
5456.447905,4.498,G3/G5V
5783.671778,2.753,F6V
3484.411616,-0.818,M1III
5556.635352,3.172,G0V
7131.69475,2.634,F0V
5676.947207,2.455,G0IV
7541.867937,1.053,A6V
4142.830945,0.551,K1III
8062.688171,1.632,A2V
6311.434135,2.886,F3V
11452.8833,-1.73,A0III
6773.092585,3.158,A9V
4174.760474,1.405,K1III
9537.998069,0.92,B9/B9.5V
13024.65316,-0.788,B6V
4654.606288,6.168,K2V
9638.210827,1.012,B9.5IVn...
5887.084306,3.714,F7V
12610.65851,-1.589,B5V
9318.405992,0.742,A2V
9023.873528,1.562,A1V
5593.544425,4.001,G2/G3V
3621.980016,-0.872,K4/K5III
4621.983098,0.109,G8III
4372.067965,1.965,K1III
4406.577836,0.766,K0III
4394.320308,2.646,K0III
3590.924474,-0.434,K4/K5III
4074.01116,0.152,K1/K2III
4306.966284,1.689,K0III
4516.511499,-0.243,G8III:
4293.46632,0.06,K3II
7166.056166,2.162,F0V
4585.391205,-0.227,G8III
3832.138584,-1.223,K3III
3498.156852,-1.003,M1III
11543.06406,-0.79,B6V
4388.223435,0.764,G8III
14113.6356,-1.78,B3Vn
3533.1213,-0.26,K3III
8914.822028,1.607,A1Vp...
4118.415098,0.594,K1III
5421.748566,3.31,G2V
5449.46365,5.058,K2V
5692.447417,4.136,F8V
6008.56227,-14.53,A0Ia
4388.223435,0.592,K0III
8950.805225,1.546,A2IV
9638.210827,1.106,A0V
10018.77719,1.722,B9.5V
10248.91747,-0.414,B9IV
6477.810018,2.037,F2V
7971.169476,1.647,A5IV
5531.158665,3.031,G0V
4050.592415,0.829,K2IIICN...
7426.280904,2.346,A7/A8III
7953.175856,1.102,A3V
13341.96007,-1.557,B3IV
4443.869322,-0.303,K0/K1III
3785.157042,5.854,K0III
8573.858089,0.562,A1IV
4116.684853,0.64,K2IIICN...
11848.86265,0.588,B8/B9V
3998.30471,1.249,K0III
5044.38623,3.432,G5/G6IV
5397.784988,4.565,G0V
9036.197017,-0.786,A1IV
7257.367409,2.123,A8V
7899.798585,1.887,A2/A3V
4558.418218,-1.259,G9III
4301.167607,1.727,K0III
6136.507218,3.299,F5V
4633.568475,-0.139,K0III
11520.35266,-0.375,B6V
4408.629077,0.175,G8III
5803.990342,3.328,F7V
4649.910594,0.86,G8III
5030.065746,-0.627,G0:V+...
4954.455449,6.084,K0V
3389.710155,0.472,M2III
4897.576946,-1.564,G0II
9756.021185,-0.428,A1V
4301.167607,0.39,K0III
3573.821885,-4.595,K4/K5III:
6570.762215,2.085,F2V
4819.08802,1.212,G8III
4433.431572,-0.473,K0III
10439.27983,0.806,A0Vn
4529.640904,2.359,K0III
9939.670652,1.045,B9.5V
6461.746003,3.016,F5V
3556.921489,-0.582,K5III
5787.72126,2.046,F6V
3424.189458,-0.643,M1III
8156.879784,1.706,A4V
9609.310617,1.628,A0V
9495.841085,0.232,A0V
9877.498885,0.39,B9IV
3979.128142,-0.166,K3III
3819.181211,-1.874,K1/K2III
5619.748139,2.246,F9V
5221.430881,5.27,G8III
6212.738339,3.693,F5V
3578.687538,-0.994,K4/K5III
5820.374238,3.854,F5V
9331.76093,0.105,B9.5Vn
3434.045613,-2.121,K3II
4683.031475,0.446,G8III
4423.054898,-2.766,G2II
9278.626168,1.457,A1/A2V
8128.334237,-0.125,A0IV
11776.5029,0.505,B8V
12498.31318,-1.139,B5Vn
4612.766777,0.524,G8III
4214.632668,0.121,K1III
5845.168212,4.35,G0V
5384.209914,1.782,F6V
4704.637204,1.138,G6III
5397.784988,3.804,F7/F8V:
7686.677309,-1.844,A3III
4418.921201,1.177,G8III
3680.917278,-1.854,K4III
6062.572271,4.697,G2V
6276.446861,2.541,F0IV
3932.176093,-0.022,K2III
5252.999507,3.171,G5V
9971.125339,0.477,A0Vn...
3552.129407,-0.601,K5Ib
6321.520329,2.533,F2V
5320.875154,3.385,G3V
6445.78121,2.956,F0III
8118.874434,2.036,A3IV
5563.968426,3.982,G3V
14422.99087,-0.518,B9p Si
4364.045819,1.614,K1III
11728.87288,-0.837,B9V
4617.369188,6.491,K0V
3949.230414,-0.605,K1/K2III
6183.875378,3.502,F5V
4959.958872,3.373,G8IV
3528.4089,1.823,K0/K1III
5601,2.121,A3V
10732.5933,0.979,B9.5V
4320.572871,1.652,K0III
4545.079748,0.67,G6/G8III
3977.54046,0.136,K2III
3932.176093,-0.036,K1III
4200.023871,2.28,K0IIICN...
4661.672106,-0.852,G8/K0III+..
4592.196982,-13.1,A2Ia
5904.062214,3.983,G2V
4207.312418,1.104,G8III
8090.65937,1.877,A5V
6456.413429,3.265,F2/F3V
11256.26118,0.937,B9Vn
3698.011868,8.904,M0V
6286.393689,2.97,F2V
4278.166642,1.796,G8/K0III
7597.366883,2.466,A3IV
5676.947207,3.867,G2V
4751.079085,3.42,K1IV
8785.916088,1.218,A1V
9399.260471,1.235,B9V
10386.4894,0.369,B9.5V
9523.893817,1.533,A0V
5246.647632,5.049,G6V
11776.5029,0.612,B9.5V:n
10317.13021,1.307,A0V
3661.436315,0.161,K5III
6188.662586,2.815,F5V
10232.03987,1.11,A0V
3909.214399,-0.246,K3III
11752.62757,-1.297,B5IV
3703.311779,9.145,K7V
8488.332429,1.916,A3V
4556.188345,6.341,K5V
4082.457336,0.909,K2IIIvar
8425.571757,0.305,A5V
7787.158528,1.868,A3IV
9696.668735,-1.163,B0Ib
3742.312152,0.294,K3/K4III
6393.269389,1.245,F2V
3570.183481,0.102,M2III
3508.555148,-0.959,M2III
4388.223435,0.502,K0III
5520.329177,4.905,G2/G3V
13714.24492,-0.956,B3V
5849.326254,3.844,F7/F8V
3886.585003,-0.421,K2III
6461.746003,2.524,F3V
3600.789659,-0.788,K3/K4III:
6445.78121,2.028,F3V
10986.63383,-0.66,B9III
3550.933907,-1.383,K4III
8595.57782,-1.498,B9IV
4645.226725,0.923,G6/G8III
9566.363888,-0.884,B9V
6615.67153,3.018,F2V
7761.731043,-14.64,B2.5Ia
10215.23159,-0.732,A0V
5696.339023,4.004,G0V
4675.884534,0.783,G8III
6331.646916,2.741,F3V
3687.468704,-0.532,K2III
17569.14266,-2.985,B0Vp
3486.69311,-0.283,M0/M1III
6026.431617,3.754,F6V
8244.042487,2.087,A4Vn
3776.768878,-0.527,K3III
11364.44349,-1.134,B7III
5861.844882,3.008,F6V
5174.955811,-11.4,F7Ib
4486.24273,0.754,G6III
4518.693125,1.059,K0III
10510.72093,-2.152,B3III
10067.00246,0.913,A0III:
3919.88803,-1.057,K0III
3605.747718,1.225,K3III
4326.43724,0.671,K0III
3848.125538,0.107,K0V
4149.873583,-0.376,K3III+...
10317.13021,0.165,B9.5V
5836.87425,4.208,F8V
9652.742622,0.846,A3Vn
7770.183787,2.489,A7V
5093.848621,4.707,G5V
4768.480052,6.068,K1V
5463.45458,4.337,G3/G5V
5615.985964,2.823,G0V
4082.457336,1.289,K1/K2III
3415.487573,-3.138,K3Ib
6946.614447,2.334,F5III
5452.952982,3.841,G2/G3V
4490.535786,1.061,K0III
11027.06308,0.517,A0Vs
7293.268403,0.705,F0V
9023.873528,1.477,A0IV
10115.81229,-2.04,B3:V
3958.611014,1.669,K1III
3666.606011,0.192,K3III
4164.049087,0.664,K1III
7678.449663,2.331,A7V
5735.624314,4.424,F9V
8147.336782,2.896,A2IV
13541.84426,-1.092,B5Vn
6085.436994,1.343,F5IV
4062.259598,-0.131,K0/K1III
6972.318885,1.649,F3V
3453.972446,-0.113,M2III
6445.78121,2.197,F2V
7908.63258,2.142,A5V
3935.263179,0.32,K2III
6755.138715,1.677,F0V
4596.748219,6.075,K3V
5747.5425,2.26,F7V
3640.938354,0.562,K3III:
10115.81229,0.034,A0V
27889.27554,-2.566,B0Ib:
9877.498885,0.573,B9V
5964.462482,3.726,F6V
3963.322245,-2.363,K2II
7645.757958,1.417,A6IV
6701.983181,2.77,K7V:
5380.829465,-0.033,K0/K1III+..
5925.457649,1.659,F7V
5832.738289,4.189,F8V
5360.657629,4.918,G5V
2826.155825,0.35,M2Ia
7479.666522,2.856,A2IIIm...
6985.260549,1.107,A5/7V (+F)
8053.418048,1.531,A4V
4272.46432,1.43,G8III
3787.963461,-0.559,K3III
2831.571216,-1.95,C5II
5449.46365,3.494,G0V
3635.858564,-0.279,K4III
4074.01116,0.433,K4III
4338.225906,0.731,K0III
4596.748219,1.446,K0III+...
4569.608647,0.316,K0III
10369.04044,0.504,B8V
7278.854823,1.723,A7III
10657.34248,-1.006,B9IV
8639.432928,1.834,A2V
3792.182858,-0.134,K2III
4374.079267,0.92,K0IV
3562.934374,-1.302,M3/M4III
5680.812363,4.653,G2V
6094.643406,2.688,F5V
10265.86484,-0.408,B8/B9V
15753.42533,-0.708,B2.5IV
4507.811257,-0.104,K0III
4406.577836,0.196,K0III
11277.69149,0.015,A1Vn
6169.569123,2.048,F5V
4542.866145,1.204,G8III
3972.786901,-0.421,K3III
4037.360576,1.104,K2III
4101.194013,0.501,K0III
4148.110119,0.971,K0/K1III
5466.966362,4.495,G3V
7031.033581,1.84,A8V
4408.629077,0.637,K0III
5653.893575,2.156,G0V
9786.039741,2.022,A0V
4234.928639,1.389,K1III:
4892.244799,-0.007,F5II
5384.209914,1.006,F3/F5IV
7573.45697,0.917,A7V
5353.975599,4.635,G5V
11475.26314,-1.829,B2.5V
3678.304846,1.415,K4III
5619.748139,4.364,G2/G3V
9831.503442,-0.311,B9V
12388.43701,-0.492,B7:V
9711.422134,0.858,A0IV
3894.091689,-0.333,K3III
4445.964252,0.913,K0III
3566.554323,-0.318,M1III
4210.968567,1.713,K3III
9986.946248,1.024,B9.5V
4683.031475,0.765,G4III:
4621.983098,0.443,G6/G8III
9862.107375,0.77,A0V
4803.764989,1.653,K1:III+...
4128.834878,0.567,K1III
11897.72403,-0.592,B7IV
5824.488304,3.889,F5V
4178.346269,1.028,K0III
4938.036357,3.025,G8V
4155.175243,7.707,K5V
7855.995846,1.991,A4IV
4619.674703,0.515,K0III
8343.669885,1.162,A2V
5520.329177,3.119,F0V
3716.645053,1.62,K3/K4III
5899.806267,3.12,F7V
4396.357309,1.327,K0/K1III
4370.058973,0.162,G8III
3635.858564,-0.123,K4/K5III
4699.814408,-0.087,G5III SB
3635.858564,-0.86,K5III
4467.050211,0.317,G8III
8053.418048,-3.074,A2IV
4314.728334,0.68,K0III
14076.12425,-0.971,B3IV
8751.5625,1.439,A3V
6908.498473,2.933,A7II
9305.098733,1.054,A0V
10601.76296,0.072,A2/A3V
11971.9691,-0.898,B8/B9III
8987.153735,1.627,A1V
6761.110109,1.465,A8V
6655.602442,1.757,F0V
