teff (K),abs (mag),spect
4164.049087,15.363,DC9+
7464.315737,12.373,DA6
3588.468721,11.401,sdM1
7388.726918,12.546,DA6
9265.460325,10.864,DA
9986.946248,11.242,DA4
3437.346786,12.532,dM
8147.336782,12.745,DQ6
7388.726918,12.948,DA6
8244.042487,13.629,DQ7
3351.941305,14.015,dM5
7621.466406,13.654,DA6
3415.487573,13.358,dM4.5e
3214.501864,14.358,dM5  e
3540.219488,11.641,dM
3459.55914,12.507,dM3   :
3842.292834,9.144,dM1   J
3415.487573,12.987,dM4
3528.4089,11.767,dM4  e
7962.159958,12.965,DA5
5491.707818,13.94,DA9
3214.501864,16.121,DZ9+
7703.198923,13.479,DQ6
3588.468721,10.981,dM4
8244.042487,12.348,DAV4
3470.800612,13.421,dM6  e
8552.275046,11.606,DA
8053.418048,12.257,DA
3214.501864,14.786,dM6  e
8343.669885,11.795,DA4
5676.947207,14.08,DA9
9265.460325,13.589,DA5
5401.192143,4.85,G2V
4477.687318,5.866,K3V
6667.122312,2.421,F0V
4697.407641,1.494,G8III
3877.624572,8.607,M0V:
6058.025058,3.763,F6V
3671.793993,0.989,K4III
6367.411835,2.476,F3V
6212.738339,2.89,F2V
5887.084306,3.934,G0V
5064.607139,1.728,G3IV
5857.664569,4.113,F7V
5350.642385,4.16,G5V
6155.345325,2.346,F3/F5V
4390.253375,1.068,G8III
5947.047978,2.066,F7.5IV-V
6548.591755,2.532,F0V
5021.522107,5.518,G6V
6122.472888,2.629,F3V
4408.629077,0.508,G9IV
4402.482503,-1.034,K1III
4181.939772,7.729,K3V
4156.946229,-1.824,K0/K1III
5542.041421,2.62,G1IV
7908.63258,1.953,A4V
4793.617078,5.894,K2V
6576.3342,2.161,F2IV
4488.387975,0.823,G8III
11213.70437,-0.01,B9p SiEu
4171.182364,1.144,K2III
6493.974246,3.027,F2V
5350.642385,4.251,G3/G5V
3620.72489,-1.614,K4III
9955.366938,1.812,A0V
5731.665298,4.08,G2V
4675.884534,-0.588,G8III
4599.028069,0.643,G8III
5531.158665,4.186,F8V
5951.389681,2.8,F5V
5791.777837,3.657,F6/F7V
5878.641014,3.201,F5V
3588.468721,-0.223,M1III
5845.168212,3.085,F6V
5824.488304,4.392,F7V
4540.655236,-0.281,G7II-III
3510.876388,-0.576,M2III
3807.755078,8.226,M1.5V:
5408.022611,2.595,G0IV
8244.042487,0.399,A2IV
6316.472199,3.11,F3V
4287.71293,-1.303,G8III
4099.481793,0.057,K2III
4004.748394,0.663,K2III
6461.746003,-4.293,F0III
6690.312332,1.966,F2V
4312.784544,1.713,K0III
7873.443931,2.643,A4V
5816.26743,0.022,F5IV
4176.552409,0.318,K2IV
11109.04915,-1.617,B9IIIp Mn
4324.48024,1.742,K0/K1IV
5812.167858,3.794,F7V
13341.96007,-0.589,B7IV
7064.19109,1.842,A9V
4352.081325,1.617,K1III
6440.481492,2.114,F3IV...
3492.413222,-1.24,M3III
8891.033292,1.225,B8V
4477.687318,1.158,K0III
11320.85975,0.332,B9V
8809.006554,1.885,A3V
4540.655236,0.675,G9III
5387.595678,3.721,G3V
3799.241367,8.313,M0V
5968.836057,2.995,F5V
5288.28161,5.374,G3V
4402.482503,2.23,G9II-III
5771.56571,2.787,F7V
5861.844882,2.826,G0V
14113.6356,-0.899,B4V
8034.957481,0.883,A6V
4599.028069,2.74,G8/K0III
7004.786101,2.865,F0V
